Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)	hh eval 1 (eV)	hh eval 2 (eV)	hh eval 3 (eV)	hh eval 4 (eV)	hh eval 5 (eV)	hh eval 6 (eV)	hh eval 7 (eV)	hh eval 8 (eV)	hh eval 9 (eV)	hh eval 10 (eV)	hh eval 11 (eV)
 6.300000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.310000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.320000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.330000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.340000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.350000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.360000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.370000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.380000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.390000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.400000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.410000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.420000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.430000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.440000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.450000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.460000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.470000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.480000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.490000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.500000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.510000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.520000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.530000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.540000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.550000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.560000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.570000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.580000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.590000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.600000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.610000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.620000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.630000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.640000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.650000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.660000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.670000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.680000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.690000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.700000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.710000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.720000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.730000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.740000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.750000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.760000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.770000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.780000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.790000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.800000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.810000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.820000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.830000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.840000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.850000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.860000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.870000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.880000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.890000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.900000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.910000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.920000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.930000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.940000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.950000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.960000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.970000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.980000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 6.990000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.000000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.010000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.020000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.030000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.040000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.050000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.060000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.070000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.080000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.090000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.100000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.110000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.120000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.130000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.140000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.150000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.160000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.170000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.180000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.190000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.200000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.210000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.220000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.230000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.240000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.250000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.260000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.270000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.280000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.290000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.300000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.310000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.320000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.330000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.340000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.350000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.360000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.370000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.380000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.390000e+02	 8.50000000e-01	-6.69000000e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.400000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.410000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.420000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.430000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.440000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.450000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.460000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.470000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.480000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.490000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.500000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.510000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.520000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.530000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.540000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.550000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.560000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.570000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.580000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.590000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.600000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.610000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.620000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.630000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.640000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.650000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.660000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.670000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.680000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.690000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.700000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.710000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.720000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.730000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.740000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.750000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.760000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.770000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.780000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.790000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.800000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.810000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.820000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.830000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.840000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.850000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.860000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.870000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.880000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.890000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.900000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.910000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.920000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.930000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.940000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.950000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.960000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.970000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.980000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 7.990000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.000000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.010000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.020000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.030000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.040000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.050000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.060000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.070000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.080000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.090000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
 8.100000e+02	 8.50000000e-01	-6.68747430e-01	 0.00000000e+00	 0.00000000e+00	 0.0000e+00	 1.0000e-10	 0.0000e+00
